Feature Name,Observations,Skewness,Reported Std,Reported Mean
id,The feature id has a right skewed distribution,Right Skewed,10893699.943157386,13079729.906181842
member_id,The feature member_id has a right skewed distribution,Right Skewed,11682354.91437572,14597660.622827241
loan_amnt,The feature loan_amnt has a right skewed distribution,Right Skewed,8286.50027847557,14317.277577018347
funded_amnt,The feature funded_amnt has a right skewed distribution,Right Skewed,8274.362427331474,14291.80104442562
funded_amnt_inv,The feature funded_amnt_inv has a right skewed distribution,Right Skewed,8297.628890663827,14222.329888214656
int_rate,The feature int_rate has a right skewed distribution,Right Skewed,4.35758190984009,13.829235939455682
installment,The feature installment has a right skewed distribution,Right Skewed,243.48528877324577,432.0612007462747
annual_inc,The feature annual_inc has a right skewed distribution,Right Skewed,54963.27396437495,73277.38147046504
dti,The feature dti has a right skewed distribution,Right Skewed,7.851112790541576,17.218757927018626
delinq_2yrs,The feature delinq_2yrs has a left skewed distribution,Left Skewed,0.7973394554471396,0.28467837411207575
inq_last_6mths,The feature inq_last_6mths has a left skewed distribution,Left Skewed,1.0915630047501064,0.8047446038227928
mths_since_last_delinq,The feature mths_since_last_delinq has a right skewed distribution,Right Skewed,14.820453477606653,34.10443005723045
mths_since_last_record,The feature mths_since_last_record has a right skewed distribution,Right Skewed,11.126483866169062,74.30601232494917
open_acc,The feature open_acc has a right skewed distribution,Right Skewed,4.987365676481495,11.187068906351877
pub_rec,The feature pub_rec has a left skewed distribution,Left Skewed,0.5108462021953928,0.1605641535980234
revol_bal,The feature revol_bal has a left skewed distribution,Left Skewed,20676.22298100041,16230.203487137695
revol_util,The feature revol_util has a right skewed distribution,Right Skewed,23.723948409832186,56.17694742941817
total_acc,The feature total_acc has a right skewed distribution,Right Skewed,11.599767774212921,25.064430270066232
out_prncp,The feature out_prncp has a left skewed distribution,Left Skewed,6355.071954203664,4410.062342408725
out_prncp_inv,The feature out_prncp_inv has a left skewed distribution,Left Skewed,6353.191188422184,4408.452258297043
total_pymnt,The feature total_pymnt has a right skewed distribution,Right Skewed,8265.618248945459,11540.686219555744
total_pymnt_inv,The feature total_pymnt_inv has a right skewed distribution,Right Skewed,8254.14872772687,11469.892746517668
total_rec_prncp,The feature total_rec_prncp has a right skewed distribution,Right Skewed,7031.680457162962,8866.014657194584
total_rec_int,The feature total_rec_int has a right skewed distribution,Right Skewed,2483.80699801298,2588.677224937642
total_rec_late_fee,The feature total_rec_late_fee has a left skewed distribution,Left Skewed,5.265724041586062,0.6501291807677907
recoveries,The feature recoveries has a left skewed distribution,Left Skewed,552.2154914490982,85.34421125054324
collection_recovery_fee,The feature collection_recovery_fee has a left skewed distribution,Left Skewed,85.49134533082716,8.961533901799578
last_pymnt_amnt,The feature last_pymnt_amnt has a left skewed distribution,Left Skewed,5554.731436692232,3123.9137961726574
collections_12_mths_ex_med,The feature collections_12_mths_ex_med has a left skewed distribution,Left Skewed,0.1086313679455601,0.00908525335736045
mths_since_last_major_derog,The feature mths_since_last_major_derog has a right skewed distribution,Right Skewed,9.980287472479457,42.85254713366968
policy_code,The feature policy_code has a right skewed distribution,Right Skewed,0.0,1.0
acc_now_delinq,The feature acc_now_delinq has a left skewed distribution,Left Skewed,0.06863459166177323,0.004002093270649601
tot_coll_amt,The feature tot_coll_amt has a left skewed distribution,Left Skewed,13482.70256866261,191.9135171170835
tot_cur_bal,The feature tot_cur_bal has a left skewed distribution,Left Skewed,140183.64184321987,138801.71338537667
total_rev_hi_lim,The feature total_rev_hi_lim has a left skewed distribution,Left Skewed,34325.67348536848,30379.087770715174
